iter	Passed	Remaining
0	1	155
1	2	141
2	4	135
3	5	125
4	6	125
5	7	122
6	9	121
7	10	120
8	11	120
9	13	119
10	14	117
11	15	116
12	17	114
13	18	113
14	20	116
15	22	115
16	23	114
17	25	114
18	26	114
19	28	112
20	29	110
21	30	108
22	31	107
23	33	105
24	34	103
25	35	102
26	37	100
27	38	98
28	39	97
29	41	96
30	43	97
31	46	98
32	47	96
33	49	95
34	50	93
35	51	92
36	53	90
37	54	89
38	56	88
39	57	86
40	59	85
41	59	82
42	61	81
43	62	79
44	64	78
45	66	78
46	68	77
47	69	75
48	71	74
49	72	72
50	74	71
51	75	69
52	76	68
53	78	66
54	79	64
55	80	63
56	82	61
57	83	60
58	85	59
59	87	58
60	89	57
61	90	55
62	92	54
63	93	52
64	95	51
65	96	49
66	98	48
67	99	46
68	100	45
69	102	43
70	103	42
71	105	40
72	106	39
73	108	37
74	109	36
75	112	35
76	113	34
77	115	32
78	116	31
79	118	29
80	119	28
81	121	26
82	122	25
83	124	23
84	125	22
85	127	20
86	129	19
87	130	17
88	133	16
89	135	15
90	136	13
91	138	12
92	139	10
93	141	9
94	142	7
95	143	5
96	145	4
97	146	2
98	148	1
99	149	0
