iter	Passed	Remaining
0	163	163486
1	172	86166
2	175	58254
3	176	44033
4	178	35467
5	179	29743
6	181	25803
7	183	22789
8	185	20434
9	187	18550
10	189	16997
11	190	15695
12	191	14573
13	193	13614
14	194	12779
15	195	12050
16	197	11418
17	198	10854
18	200	10350
19	203	9962
20	205	9578
21	207	9245
22	209	8906
23	211	8590
24	212	8299
25	214	8049
26	216	7798
27	219	7613
28	220	7396
29	224	7250
30	226	7080
31	228	6918
32	230	6755
33	232	6619
34	234	6477
35	236	6326
36	237	6183
37	239	6054
38	240	5935
39	242	5817
40	244	5718
41	247	5635
42	250	5567
43	251	5467
44	253	5372
45	254	5285
46	256	5193
47	257	5112
48	259	5031
49	260	4951
50	261	4873
51	263	4797
52	265	4748
53	268	4708
54	270	4653
55	272	4591
56	273	4527
57	275	4470
58	276	4412
59	277	4354
60	279	4298
61	280	4243
62	281	4192
63	283	4147
64	285	4102
65	286	4055
66	288	4024
67	291	3996
68	293	3957
69	295	3919
70	296	3884
71	298	3844
72	299	3805
73	300	3765
74	302	3727
75	303	3690
76	304	3653
77	306	3618
78	307	3583
79	308	3549
80	310	3528
81	312	3501
82	314	3470
83	315	3442
84	317	3412
85	318	3382
86	319	3353
87	320	3325
88	322	3298
89	323	3271
90	324	3244
91	326	3218
92	327	3193
93	328	3168
94	330	3144
95	331	3120
96	333	3104
97	335	3088
98	337	3068
99	338	3047
100	340	3027
101	341	3007
102	343	2988
103	344	2969
104	346	2951
105	347	2931
106	348	2911
107	350	2892
108	351	2872
109	352	2854
110	354	2836
111	356	2825
112	358	2812
113	359	2796
114	361	2779
115	362	2762
116	363	2743
117	364	2726
118	366	2710
119	367	2693
120	368	2677
121	369	2660
122	371	2651
123	373	2641
124	375	2628
125	380	2636
126	381	2625
127	383	2613
128	385	2602
129	386	2589
130	388	2578
131	390	2565
132	391	2555
133	393	2545
134	395	2535
135	397	2523
136	398	2512
137	402	2511
138	404	2503
139	405	2491
140	407	2480
141	408	2465
142	409	2454
143	411	2444
144	412	2433
145	413	2421
146	415	2409
147	416	2398
148	417	2386
149	419	2375
150	420	2365
151	422	2359
152	424	2350
153	425	2339
154	427	2329
155	428	2320
156	430	2311
157	431	2301
158	433	2291
159	434	2281
160	435	2268
161	436	2259
162	437	2248
163	439	2238
164	440	2229
165	441	2219
166	443	2210
167	445	2204
168	446	2197
169	448	2190
170	450	2181
171	451	2172
172	452	2164
173	454	2156
174	455	2147
175	456	2138
176	458	2129
177	459	2121
178	460	2112
179	461	2104
180	463	2096
181	464	2088
182	467	2086
183	469	2082
184	471	2075
185	472	2069
186	474	2061
187	476	2059
188	478	2053
189	480	2048
190	482	2041
191	483	2036
192	485	2030
193	487	2023
194	489	2021
195	492	2018
196	494	2013
197	495	2007
198	497	2001
199	498	1995
200	500	1988
201	501	1981
202	502	1974
203	504	1967
204	505	1960
205	506	1953
206	508	1946
207	509	1939
208	511	1935
209	513	1931
210	514	1924
211	516	1918
212	517	1911
213	518	1905
214	519	1898
215	521	1891
216	522	1885
217	523	1878
218	525	1872
219	526	1866
220	527	1860
221	529	1854
222	530	1848
223	531	1842
224	533	1838
225	535	1833
226	537	1829
227	538	1824
228	540	1818
229	541	1812
230	542	1806
231	544	1800
232	545	1795
233	546	1789
234	547	1783
235	549	1777
236	550	1772
237	551	1766
238	552	1760
239	554	1755
240	555	1750
241	557	1746
242	559	1741
243	560	1737
244	562	1732
245	563	1727
246	565	1722
247	566	1718
248	568	1713
249	569	1708
250	570	1703
251	572	1699
252	573	1694
253	575	1689
254	577	1686
255	578	1682
256	580	1679
257	587	1688
258	589	1687
259	591	1683
260	592	1678
261	594	1674
262	595	1669
263	597	1665
264	599	1661
265	600	1658
266	603	1656
267	605	1655
268	607	1651
269	609	1647
270	610	1643
271	612	1638
272	613	1634
273	615	1629
274	616	1624
275	617	1620
276	619	1616
277	620	1612
278	622	1608
279	626	1611
280	629	1610
281	630	1606
282	632	1601
283	633	1597
284	635	1593
285	636	1590
286	638	1585
287	639	1581
288	641	1577
289	642	1572
290	643	1568
291	644	1563
292	648	1564
293	651	1563
294	653	1560
295	655	1558
296	656	1554
297	658	1551
298	660	1547
299	661	1543
300	662	1539
301	664	1536
302	666	1532
303	667	1527
304	668	1524
305	673	1527
306	675	1525
307	677	1522
308	679	1519
309	680	1514
310	682	1511
311	683	1507
312	684	1503
313	686	1499
314	687	1495
315	689	1491
316	691	1490
317	694	1490
318	697	1488
319	699	1486
320	700	1482
321	702	1478
322	703	1475
323	705	1471
324	706	1467
325	708	1463
326	709	1460
327	711	1457
328	712	1453
329	716	1454
330	718	1451
331	719	1448
332	721	1444
333	722	1440
334	723	1437
335	725	1433
336	726	1429
337	727	1425
338	729	1422
339	730	1418
340	731	1414
341	733	1411
342	736	1410
343	739	1409
344	741	1407
345	743	1406
346	745	1402
347	746	1398
348	747	1394
349	749	1391
350	750	1388
351	752	1384
352	753	1381
353	754	1377
354	756	1374
355	760	1374
356	762	1372
357	763	1369
358	765	1366
359	766	1362
360	768	1359
361	769	1356
362	771	1353
363	772	1349
364	773	1346
365	775	1342
366	776	1339
367	778	1336
368	781	1335
369	783	1334
370	785	1331
371	787	1329
372	788	1326
373	790	1323
374	792	1320
375	793	1316
376	794	1313
377	796	1310
378	797	1307
379	798	1303
380	800	1300
381	801	1296
382	805	1297
383	807	1296
384	809	1293
385	810	1289
386	812	1286
387	813	1283
388	815	1280
389	816	1277
390	818	1274
391	819	1271
392	820	1267
393	822	1264
394	823	1261
395	828	1262
396	830	1261
397	832	1259
398	834	1256
399	836	1254
400	838	1252
401	839	1249
402	841	1246
403	842	1243
404	844	1240
405	845	1237
406	847	1234
407	849	1232
408	851	1230
409	853	1228
410	855	1225
411	856	1222
412	858	1219
413	859	1216
414	861	1213
415	862	1210
416	864	1208
417	865	1205
418	867	1203
419	872	1205
420	875	1203
421	876	1201
422	878	1198
423	880	1195
424	881	1193
